state,state_name,county,mentally_unhealthy_days,physically_unhealthy_days,pct_frequent_mental_distress,pct_excessive_drinking,injury_death_rate,age_adjusted_mortality,pct_frequent_physical_distress,pct_smokers,pct_insufficient_sleep,preventable_hospitalization_rate,pct_some_college,pct_fair_or_poor_health,pct_unemployed,length_of_life_pctile_within_state,median_household_income,pct_physically_inactive,length_of_life_quartile_within_state,pct_children_in_poverty,income_20th_percentile,pct_children_eligible_free_lunch,pct_diabetic,drug_overdose_mortality_rate
IA,Iowa,Pottawattamie,3.1,3.0,8.9,20.0,64.55611217,367.0,9.0,19.3,29.2,55.05,62.24431191,12.6,4.42524221,77.0,51947.0,29.9,4.0,17.5,22830.0,41.10872042,9.5,12.91391798
IA,Iowa,Poweshiek,2.9,2.8,8.7,19.5,63.82096093,322.6,8.5,16.6,28.1,41.59,68.93336989,11.3,4.4512958860000005,51.0,52791.0,23.2,2.0,13.8,22641.0,26.52128034,9.3,10.118499173200002
IA,Iowa,Ringgold,3.1,3.2,9.5,17.2,70.48596155,331.7,9.8,16.9,27.1,55.94,65.45064378,13.6,4.003139717,93.0,42854.0,30.0,4.0,24.5,20017.0,41.75675676,11.8,10.118499173200002
IA,Iowa,Sac,2.8,2.7,8.4,18.7,66.46206775,405.8,8.2,14.9,26.0,81.68,65.63921172,10.9,4.082363474,98.0,49513.0,25.7,4.0,14.8,22225.0,30.194231899999995,10.2,10.118499173200002
IA,Iowa,Scott,3.0,3.1,8.8,22.0,61.43087231,330.5,9.0,17.8,31.5,56.52,74.15765695,12.2,5.44340915,57.0,54959.0,23.0,3.0,16.4,23790.0,37.84265251,9.1,16.64802741
IA,Iowa,Shelby,2.9,3.0,8.8,18.3,64.56846741,284.0,9.1,16.4,27.2,55.58,71.16997793,11.8,3.2541029989999997,31.0,55637.0,32.5,2.0,12.1,20847.0,25.66233766,10.5,10.118499173200002
IA,Iowa,Sioux,2.7,2.7,8.3,20.1,35.88108655,203.0,8.4,15.2,24.4,57.36,63.99001183,11.0,3.04047384,7.0,60205.0,25.2,1.0,8.8,28369.0,26.893052299999997,8.3,10.118499173200002
IA,Iowa,Story,3.0,3.2,9.3,24.4,35.6166323,214.3,9.6,16.7,28.2,40.9,84.81758116,12.8,2.937035864,6.0,52128.0,19.5,1.0,10.3,18292.0,20.80331412,6.6,6.84391198
IA,Iowa,Tama,3.0,3.1,9.0,19.0,81.44151481,293.4,9.3,17.5,28.0,31.82,60.81932773,13.0,5.554952805,38.0,54957.0,33.2,2.0,18.0,24459.0,25.21891419,10.4,10.118499173200002
IA,Iowa,Taylor,3.1,3.2,9.3,18.2,76.56479296,291.5,9.7,17.4,28.4,53.33,61.31334761,13.7,3.827311696,3.0,46501.0,24.0,1.0,17.4,19813.0,41.44411474,10.9,10.118499173200002
IA,Iowa,Union,3.0,3.1,9.1,19.2,71.67545355,325.4,9.3,18.0,27.3,35.71,62.67733721,12.6,4.899387577,66.0,44905.0,27.3,3.0,18.5,20130.0,41.34020619,10.0,10.118499173200002
IA,Iowa,Van Buren,3.0,3.1,9.2,18.1,77.14202112,299.2,9.4,17.5,27.0,68.1,57.79054917,12.6,4.712175242,9.0,42555.0,30.0,1.0,23.7,23873.0,36.64864865,10.7,10.118499173200002
IA,Iowa,Wapello,3.4,3.6,10.1,18.3,69.38020352,390.3,10.8,20.9,32.7,62.63,51.00011562,17.1,5.727113447000001,78.0,42414.0,31.5,4.0,21.9,17036.0,49.37417655,10.8,10.118499173200002
IA,Iowa,Warren,2.7,2.8,8.1,21.6,50.61987903,260.2,8.2,14.8,25.2,45.79,74.03889237,10.3,4.07437588,16.0,67342.0,29.1,1.0,8.0,31986.0,19.53528399,8.1,10.118499173200002
IA,Iowa,Washington,2.8,2.8,8.4,19.8,64.11430665,313.8,8.4,14.7,26.3,47.25,67.88617886,11.3,3.681615776,39.0,56243.0,26.9,2.0,14.9,27176.0,30.44573155,9.3,10.118499173200002
IA,Iowa,Wayne,3.0,3.1,9.2,17.5,100.4678032,336.9,9.3,16.8,28.3,72.13,61.36738056,12.4,5.214088398,56.0,42006.0,26.2,3.0,24.8,18859.0,42.19234747,10.9,10.118499173200002
IA,Iowa,Webster,3.2,3.0,9.3,20.0,82.84388177,397.5,9.2,20.0,30.6,53.37,64.60608878,13.3,5.043495751,83.0,43490.0,27.0,4.0,19.7,17780.0,46.76318511,9.7,8.986986843
IA,Iowa,Winnebago,2.9,2.9,8.6,19.0,57.70018241,263.4,8.7,16.0,26.1,35.41,71.51675485,11.9,4.375951294,15.0,50703.0,30.6,1.0,14.3,21097.0,28.07839796,9.9,10.118499173200002
IA,Iowa,Winneshiek,2.8,2.7,8.1,22.2,42.7919361,200.0,8.1,14.5,27.1,44.32,74.16584887,10.2,4.420116882,5.0,55984.0,20.5,1.0,10.2,25466.0,17.92152704,8.3,10.118499173200002
IA,Iowa,Woodbury,3.1,3.5,9.4,20.0,59.91600012,365.1,10.4,19.8,31.9,46.98,58.80456154,16.1,4.5477128360000005,74.0,45641.0,26.7,3.0,20.9,20461.0,45.30503073,9.8,11.73693614
IA,Iowa,Worth,3.0,2.9,8.8,18.9,97.85253359,311.8,8.9,16.7,27.0,59.17,70.11564212,12.4,4.6875,91.0,50286.0,31.0,4.0,15.4,21951.0,30.18292683,10.3,10.118499173200002
IA,Iowa,Wright,2.9,3.1,8.8,18.0,86.99368151,314.7,9.2,16.2,26.6,60.19,58.47520355,13.8,4.2677704819999995,73.0,50108.0,29.7,3.0,17.8,19555.0,42.22307989,10.9,10.118499173200002
KS,Kansas,Allen,3.3,3.4,10.1,15.1,96.16540450000001,525.0,10.6,17.4,30.4,71.46,62.59168704,15.6,4.982768524,91.0,39196.0,29.8,4.0,24.5,17268.0,47.95872589,11.2,33.03516975
KS,Kansas,Anderson,3.1,3.3,9.5,15.2,67.35350612,388.3,10.0,17.3,29.4,57.81,50.64935065,14.5,5.082352941,74.0,45368.0,28.5,3.0,21.2,17552.0,37.50954927,11.2,14.596716772
KS,Kansas,Atchison,3.2,3.3,9.8,16.7,89.02711172,383.0,10.3,19.3,31.5,69.85,59.71264368,14.3,6.4557946589999995,46.0,44199.0,28.4,2.0,22.0,18610.0,50.98374679,9.9,14.596716772
KS,Kansas,Barber,3.0,3.0,8.9,15.9,114.5709726,466.0,9.1,16.9,28.9,116.2825,56.37982196,12.6,3.1284504969999998,96.0,51676.0,27.7,4.0,17.1,21746.0,28.60962567,10.8,14.596716772
KS,Kansas,Barton,3.1,3.5,9.8,15.9,87.61322743,394.5,10.7,17.6,31.2,62.22,55.70392351,16.1,3.540786272,77.0,46942.0,28.1,4.0,22.0,19777.0,49.64920486,10.9,14.596716772
KS,Kansas,Bourbon,3.3,3.5,10.1,15.0,89.25716722,434.7,10.7,19.1,30.1,72.85,61.4334471,15.7,5.218002813,81.0,38430.0,27.9,4.0,29.2,15291.0,51.75257732,11.4,14.596716772
KS,Kansas,Brown,3.3,3.5,10.1,15.3,84.26290025,473.5,10.8,19.3,31.3,109.5,54.25082198,16.3,4.1093377360000005,95.0,45781.0,32.4,4.0,26.9,16578.0,38.36189981606062,11.8,14.596716772
KS,Kansas,Butler,2.9,2.8,8.5,17.2,69.61671288,351.4,8.3,16.7,32.2,50.84,74.8025526,11.5,4.882312543,24.0,60123.0,26.3,1.0,14.0,26952.0,24.66703663,9.1,17.68954346
KS,Kansas,Chase,2.9,3.1,9.0,15.2,88.97333870173469,390.4,9.3,16.4,29.7,49.91,57.61245675,13.2,3.990422985,22.0,47025.0,28.8,1.0,17.3,18635.0,23.770491800000002,11.1,14.596716772
KS,Kansas,Chautauqua,3.2,3.4,9.8,14.4,110.6990646,424.1,10.4,18.2,29.9,79.55,53.61890694,14.7,5.482866044,63.0,39120.0,36.3,3.0,26.0,19670.0,47.06994329,12.7,14.596716772
KS,Kansas,Cherokee,3.3,3.5,10.0,15.1,81.42255498,528.6,10.6,19.9,33.0,58.71,61.89687306,16.2,5.036109774,90.0,40686.0,32.7,4.0,27.4,18629.0,50.72053526,11.2,20.637868899999997
KS,Kansas,Cheyenne,2.8,2.9,8.4,14.7,118.00280259999998,361.8,8.6,14.4,27.9,106.0,66.39344262,12.1,3.125,29.0,41797.0,33.8,2.0,18.4,20745.0,36.93045564,11.4,14.596716772
KS,Kansas,Clark,3.1,3.4,9.7,14.7,88.97333870173469,306.9,10.4,17.7,30.4,116.2825,63.49892009,15.1,2.6863084919999998,47.0,47650.0,27.8,2.0,17.2,21339.0,32.90870488,11.5,14.596716772
KS,Kansas,Clay,2.8,2.8,8.5,15.8,98.71900341,293.9,8.6,14.9,27.0,72.07,77.55543537,11.3,4.376470588,25.0,53131.0,28.1,1.0,16.1,23930.0,28.9793005,10.8,14.596716772
KS,Kansas,Cloud,3.2,3.4,9.9,15.9,101.8416363,376.3,10.5,18.2,29.0,88.63,62.26605969,14.7,4.190132913,69.0,42697.0,29.2,3.0,18.8,18669.0,40.94488189,11.1,14.596716772
KS,Kansas,Coffey,2.8,2.9,8.5,16.7,100.9058056,390.5,8.5,15.5,29.5,84.05,62.31263383,11.6,5.568862275,68.0,55705.0,26.2,3.0,13.3,23959.0,31.1875,10.2,14.596716772
KS,Kansas,Comanche,2.8,2.7,8.2,15.7,133.07477910374996,429.3,8.1,14.0,27.9,63.91,80.68783069,10.8,3.089598352,47.0,45353.0,26.5,2.0,16.4,21900.0,19.77715877,10.6,14.596716772
KS,Kansas,Cowley,3.2,3.5,9.8,14.3,83.30115298,431.0,10.6,19.8,31.5,48.7,65.56467182,17.0,4.631227707,79.0,45180.0,30.4,4.0,21.1,19414.0,44.85436893,10.6,11.9865382
KS,Kansas,Crawford,3.3,3.7,10.4,16.9,70.93320542,411.2,11.3,20.3,32.2,75.84,69.54059829,16.8,5.312758906,39.0,38491.0,26.9,2.0,25.0,16215.0,48.66519299,9.6,11.02358199
KS,Kansas,Decatur,3.2,3.4,9.7,13.6,129.63089309999998,470.4,10.3,17.1,27.8,53.3,58.67446394,14.8,3.600900225,100.0,41434.0,27.7,4.0,18.8,16458.0,31.062670299999997,12.8,14.596716772
KS,Kansas,Dickinson,2.9,3.0,8.9,15.8,76.0695377,380.2,9.2,17.5,28.4,68.58,63.21476812,12.6,4.993456156000001,58.0,47493.0,29.6,3.0,16.0,22998.0,33.55357656,9.9,14.596716772
KS,Kansas,Doniphan,3.0,3.0,9.0,16.9,37.96315044,295.8,9.1,16.8,30.1,65.28,57.26643599,12.8,4.512844249,3.0,47599.0,28.6,1.0,20.9,21602.0,38.54094976,9.7,14.596716772
KS,Kansas,Douglas,3.1,3.0,9.5,20.5,45.87139588,269.9,9.5,16.7,26.9,31.47,81.70544190000001,12.4,4.055347932,5.0,49246.0,18.7,1.0,15.3,19971.0,29.33641171,6.8,10.47208752
KS,Kansas,Edwards,2.9,3.1,8.9,15.0,126.75962369999999,363.7,9.5,16.1,29.7,40.65,50.32679739,14.4,3.2378580319999997,84.0,49256.0,28.5,4.0,14.0,24511.0,40.93023256,11.3,14.596716772
KS,Kansas,Elk,3.1,3.4,9.6,13.9,107.28078959999999,440.6,10.2,16.7,29.5,78.93,71.74348697,14.0,5.038167939,87.0,36471.0,26.9,4.0,28.3,17509.0,38.36189981606062,12.7,14.596716772
KS,Kansas,Ellis,3.0,3.1,9.2,18.5,68.91223088,305.6,9.4,19.6,31.4,59.8,74.77050637,12.6,2.7361134,15.0,49508.0,25.6,1.0,12.3,18800.0,28.90809112,8.4,14.596716772
KS,Kansas,Ellsworth,2.8,3.1,8.6,17.2,68.1030213,338.4,9.2,17.2,29.8,81.43,53.57142857,13.1,2.996799535,19.0,46961.0,33.2,1.0,14.1,21223.0,30.15544042,10.4,14.596716772
KS,Kansas,Finney,3.2,3.5,10.0,16.0,64.51368070000001,322.0,11.4,18.2,32.6,51.81,46.92836318,20.0,3.421828909,26.0,48609.0,22.4,2.0,25.7,26100.0,56.18204804,10.9,14.596716772
KS,Kansas,Ford,3.2,3.7,10.1,16.2,72.45318297,329.4,11.8,18.5,34.9,57.44,41.78104399,20.2,3.76501136,31.0,51144.0,30.7,2.0,21.6,24622.0,66.59066524,11.1,14.596716772
KS,Kansas,Franklin,3.1,3.3,9.2,17.1,71.84851552,356.7,9.7,17.9,32.2,60.2,61.68646478,13.5,5.143582868999999,34.0,50745.0,30.7,2.0,18.9,22923.0,42.77545635,9.3,12.94381092
KS,Kansas,Geary,3.1,3.2,9.3,19.8,70.77381256,415.3,9.8,20.3,35.5,46.71,65.94358227,14.7,7.05247038,62.0,41193.0,26.4,3.0,20.4,27133.0,42.52266883,7.2,14.596716772
KS,Kansas,Gove,2.8,2.8,8.4,15.6,133.07477910374996,361.2,8.5,14.9,27.8,112.31,65.35836178,11.6,2.664890073,47.0,50886.0,25.9,2.0,15.4,23778.0,25.75757576,10.6,14.596716772
KS,Kansas,Graham,2.9,3.0,8.8,14.4,88.97333870173469,402.3,9.1,15.4,29.3,108.05,74.08207343,12.7,3.391107762,75.0,45341.0,26.9,3.0,17.6,20161.0,29.47658402,12.0,14.596716772
KS,Kansas,Grant,3.0,3.4,9.3,16.1,32.99743635,289.5,10.5,17.8,31.3,51.75,37.38844528,17.7,3.4013605439999997,6.0,60279.0,26.4,1.0,16.7,28936.0,51.28205128,10.7,14.596716772
KS,Kansas,Gray,2.8,3.0,8.6,16.7,69.81847197,281.7,9.0,15.5,28.4,44.32,53.50701403,13.0,2.683414216,8.0,58543.0,24.8,1.0,11.4,31500.0,33.84,9.3,14.596716772
KS,Kansas,Greeley,2.9,2.9,8.6,15.5,133.07477910374996,374.70891089108903,8.9,15.4,28.4,103.81,62.94416244,13.4,2.120535714,50.445544554455445,52795.0,27.3,2.4356435643564356,15.3,26417.0,41.58878505,10.7,14.596716772
KS,Kansas,Greenwood,3.2,3.4,9.7,14.1,106.26992560000001,482.2,10.4,18.8,31.0,91.32,58.16,15.5,4.525022475,98.0,39732.0,28.6,4.0,24.9,17785.0,47.19764012,12.6,14.596716772
KS,Kansas,Hamilton,3.2,3.6,10.1,15.3,133.07477910374996,351.1,11.2,18.9,31.4,99.6,42.55319149,18.3,2.311796088,47.0,47709.0,21.7,2.0,18.2,21125.0,48.27586207,11.0,14.596716772
KS,Kansas,Harper,3.0,3.2,9.4,15.2,100.5935017,414.2,9.7,17.7,28.3,116.2825,64.24535916,14.5,3.676714144,76.0,50525.0,35.0,3.0,21.0,16848.0,50.69124424,11.2,14.596716772
KS,Kansas,Harvey,3.0,3.2,9.3,15.0,83.49167962,316.4,9.9,15.7,29.4,37.05,63.37038457,15.1,4.24383164,17.0,55074.0,26.6,1.0,18.5,21948.0,38.36189981606062,10.2,14.596716772
KS,Kansas,Haskell,3.0,3.2,9.2,15.9,75.73605983,229.9,10.1,17.4,30.2,97.97,36.99897225,15.9,2.587646077,47.0,59596.0,27.9,2.0,14.9,30081.0,54.60199005,10.4,14.596716772
KS,Kansas,Hodgeman,2.9,2.9,8.5,15.5,88.97333870173469,374.70891089108903,8.6,14.7,28.5,60.59,59.89010989,12.1,3.428571429,50.445544554455445,52394.0,27.3,2.4356435643564356,9.6,28364.0,23.54740061,11.2,14.596716772
KS,Kansas,Jackson,2.9,2.9,8.7,16.0,79.01131502,330.2,8.8,16.0,27.6,64.67,67.52475248,12.2,4.190476191,20.0,53796.0,30.0,1.0,14.5,25817.0,32.85243199,10.2,14.596716772
KS,Kansas,Jefferson,2.7,2.8,8.3,18.0,71.68307647,363.2,8.2,15.6,30.5,48.63,62.68036195,11.1,4.868075163,66.0,56927.0,23.1,3.0,13.4,26341.0,29.63314358,9.4,14.596716772
KS,Kansas,Jewell,3.0,3.1,9.2,14.2,65.18055012,296.6,9.5,15.7,29.3,94.12,72.265625,13.2,3.968253968,9.0,44101.0,30.1,1.0,18.8,18130.0,38.36189981606062,12.6,14.596716772
KS,Kansas,Johnson,2.5,2.3,7.6,19.3,40.6381676,221.0,7.1,12.5,26.1,45.24,84.01466648,9.1,3.7674560560000003,1.0,73077.0,17.8,1.0,8.0,33406.75,19.00054915,7.8,8.935300197
KS,Kansas,Kearny,2.9,3.1,8.8,17.1,95.97898565,502.6,9.4,16.6,30.1,38.42,60.77075099,14.9,3.038803179,99.0,53484.0,26.5,4.0,18.8,26167.0,43.02702703,10.0,14.596716772
KS,Kansas,Kingman,3.0,3.2,9.1,15.4,106.86207160000001,360.7,9.5,16.5,30.2,70.68,63.20512821,13.2,3.945945946,59.0,53378.0,29.6,3.0,16.7,23919.0,33.22341303,11.1,14.596716772
KS,Kansas,Kiowa,3.1,3.3,9.6,15.8,133.07477910374996,348.7,10.0,17.7,30.2,57.36,77.39463602,14.3,3.3724340180000003,47.0,46318.0,27.1,2.0,13.6,14918.0,34.73344103,10.5,14.596716772
KS,Kansas,Labette,3.2,3.6,10.0,15.5,88.72120063,490.9,10.8,20.2,30.0,46.98,61.61207997,15.3,5.861177774,93.0,40822.0,32.5,4.0,27.2,18247.0,47.96858072,11.4,14.596716772
KS,Kansas,Lane,2.8,2.9,8.5,15.5,133.07477910374996,370.6,8.7,14.8,28.4,88.98,70.52631579,12.1,3.225806452,47.0,53739.0,26.2,2.0,17.9,19143.0,34.29394813,11.0,14.596716772
KS,Kansas,Leavenworth,2.8,3.0,8.5,17.4,56.134806700000006,324.8,9.1,18.2,30.9,54.41,66.21054552,13.2,4.98721954,16.0,65549.0,26.1,1.0,14.0,26750.0,27.76889701,9.4,16.61547113
KS,Kansas,Lincoln,3.1,3.1,9.4,14.6,81.11818295,314.8,9.7,16.4,28.0,116.2825,67.89554532,13.2,4.114994363,30.0,44896.0,24.6,2.0,18.6,19330.0,36.60714286,11.5,14.596716772
KS,Kansas,Linn,3.0,3.2,9.1,15.5,85.60571262,406.0,9.4,17.1,29.6,60.85,64.94392979,13.4,7.227813358,70.0,44520.0,29.3,3.0,22.1,18240.0,43.26553051,11.1,14.596716772
KS,Kansas,Logan,2.8,2.8,8.2,16.4,86.64259928,372.7,8.3,15.1,28.7,98.48,62.7090301,11.4,2.228571429,11.0,49852.0,27.5,1.0,12.6,22715.0,28.6971831,9.8,14.596716772
KS,Kansas,Lyon,3.4,3.7,10.4,16.1,67.66020334,391.5,11.8,20.5,30.1,58.05,56.82907348,17.4,5.202488412,60.0,43038.0,23.0,3.0,21.1,16792.0,55.33722783,10.1,14.596716772
KS,Kansas,McPherson,2.7,2.7,8.3,15.9,82.55553736,334.0,8.2,15.0,29.2,41.94,67.80291292,10.6,3.2676654480000003,27.0,57878.0,25.1,2.0,10.8,28063.0,28.03486201,9.4,11.34224077
KS,Kansas,Marion,2.9,3.1,9.0,14.7,86.51350572,345.2,9.3,15.6,27.7,49.97,59.84848485,13.2,4.078989964,28.0,47723.0,25.2,2.0,14.8,21370.0,30.5488101,10.5,14.596716772
KS,Kansas,Marshall,3.0,3.1,9.3,15.4,61.67067858,283.6,9.4,16.8,29.3,70.52,62.3870661,13.5,3.213389121,13.0,47901.0,26.2,1.0,13.9,18887.0,27.03659976,10.9,14.596716772
KS,Kansas,Meade,2.9,3.0,8.7,16.1,62.64823019,294.1,9.1,15.0,29.4,116.2825,57.90031813,13.4,2.595797281,23.0,53903.0,26.4,1.0,15.8,24161.0,39.71962617,10.3,14.596716772
KS,Kansas,Miami,2.8,2.8,8.4,18.7,56.3056171,294.0,8.5,16.1,28.9,56.74,71.62564241,11.2,4.697829521,21.0,63924.0,26.1,1.0,12.1,27124.0,32.2587532,9.6,15.26422371
KS,Kansas,Mitchell,2.8,2.8,8.5,16.5,87.99220641,401.9,8.6,14.9,27.6,96.27,78.06661251,11.6,3.2791117999999995,65.0,48645.0,27.7,3.0,16.0,21675.0,29.57042957,10.2,14.596716772
KS,Kansas,Montgomery,3.3,3.5,10.3,14.8,85.27832786,435.2,10.8,19.6,35.2,78.57,61.288646400000005,16.9,5.798430069,78.0,42221.0,27.4,4.0,24.8,15876.0,52.88390889,11.8,16.53439153
KS,Kansas,Morris,2.9,3.0,8.6,15.6,78.32720338,360.0,8.9,15.6,28.0,77.01,64.38848921,12.0,4.435226548,64.0,44774.0,29.3,3.0,19.5,22219.0,32.15434084,11.3,14.596716772
KS,Kansas,Morton,3.0,3.3,9.3,14.7,100.19412609999999,425.4,10.1,16.6,30.4,73.47,65.51181102,15.6,3.9630118889999997,80.0,55378.0,32.6,4.0,15.5,23137.0,42.78922346,11.3,14.596716772
KS,Kansas,Nemaha,2.8,2.8,8.7,16.6,90.64218014,312.2,8.7,14.8,28.8,50.96,67.60496183,11.3,2.868362643,35.0,54149.0,27.7,2.0,11.9,22059.0,20.894023100000002,9.9,14.596716772
KS,Kansas,Neosho,3.2,3.3,9.9,14.6,71.63236812,385.2,10.2,18.9,31.0,86.36,64.08061844,14.3,7.24143278,41.0,41527.0,29.0,2.0,25.7,18773.0,51.19597147,11.1,14.596716772
KS,Kansas,Ness,3.0,3.2,9.2,14.4,133.07477910374996,392.6,9.7,16.3,29.5,66.26,54.85519591,13.9,2.714373843,47.0,51923.0,26.7,2.0,14.1,23672.0,36.96969697,11.8,14.596716772
KS,Kansas,Norton,2.8,2.9,8.6,17.1,92.26401703,333.0,9.0,17.2,30.4,56.77,55.2704577,12.7,2.384788914,72.0,44846.0,25.5,3.0,16.4,21604.0,31.69092945,10.0,14.596716772
KS,Kansas,Osage,2.9,3.1,9.0,15.8,92.38501146,387.8,9.3,16.7,29.0,45.09,62.781844799999995,13.6,5.455202312000001,38.0,52749.0,29.3,2.0,16.7,22092.0,37.53999289,10.7,14.596716772
KS,Kansas,Osborne,3.1,3.2,9.4,14.4,67.56054464,435.8,9.7,16.1,28.7,78.86,63.932107499999994,13.6,3.8424124510000004,92.0,38848.0,29.6,4.0,20.8,17673.0,40.18838305,12.0,14.596716772
KS,Kansas,Ottawa,2.8,2.8,8.3,16.7,59.13660556,372.7,8.3,16.3,28.3,53.14,71.29080119,11.1,4.132231405,36.0,52744.0,29.7,2.0,13.0,27693.0,32.00325733,9.9,14.596716772
KS,Kansas,Pawnee,2.9,3.2,8.9,16.0,97.67308245,386.2,9.7,17.2,32.1,58.38,59.226379200000004,14.3,3.7790697669999997,44.0,47351.0,24.8,2.0,16.9,22783.0,41.8744626,11.0,14.596716772
KS,Kansas,Phillips,2.9,2.9,8.7,15.4,89.68288133,403.4,8.8,15.7,29.1,68.49,71.13594041,11.9,3.490342257,86.0,45856.0,30.9,4.0,19.2,21896.0,35.87628866,10.6,14.596716772
KS,Kansas,Pottawatomie,2.8,2.8,8.5,18.0,60.15147234,269.3,8.4,14.9,28.2,54.57,74.35256296,11.4,3.916993083,7.0,65373.0,24.7,1.0,11.7,27112.0,24.56341254,8.7,14.596716772
KS,Kansas,Pratt,2.8,2.9,8.6,16.7,98.75120867,460.9,8.7,15.8,28.6,50.62,69.39364774,11.8,3.282275711,94.0,54701.0,24.4,4.0,15.7,21609.0,31.96004994,9.8,14.596716772
KS,Kansas,Rawlins,3.0,3.1,9.3,14.0,88.97333870173469,375.2,9.7,16.0,29.2,76.9,69.58250497,13.8,2.491803279,47.0,44932.0,32.3,2.0,16.6,21257.0,31.86119874,12.4,14.596716772
KS,Kansas,Reno,3.0,3.3,9.2,16.0,89.76772214,392.4,9.9,17.2,33.7,47.21,62.71967925,14.1,4.3953252030000005,67.0,46533.0,27.0,3.0,21.1,21049.0,45.19955766,10.9,14.55135068
KS,Kansas,Republic,3.1,3.3,9.6,13.7,93.45794393,401.9,10.1,16.4,30.1,69.61,64.32038835,13.9,3.0490158239999996,82.0,42381.0,35.1,4.0,18.2,18753.0,37.5,12.4,14.596716772
KS,Kansas,Rice,3.1,3.2,9.3,15.8,87.64591052,423.6,9.9,16.8,27.7,60.68,56.4453125,14.2,3.556370303,61.0,49152.0,25.7,3.0,19.9,20480.0,47.0179502,10.4,14.596716772
KS,Kansas,Riley,3.2,3.4,10.0,21.8,37.25935525,255.5,10.5,17.1,31.4,40.79,82.87265052,13.9,3.6821285360000005,2.0,46468.0,17.1,1.0,16.5,18673.0,26.81557116,5.9,8.403510013
KS,Kansas,Rooks,3.0,3.0,9.1,15.9,92.46773261,362.1,9.3,16.6,28.1,57.26,73.08730873,12.8,3.62369338,45.0,48383.0,29.5,2.0,16.3,18811.0,38.36189981606062,10.8,14.596716772
KS,Kansas,Rush,3.0,3.1,9.1,14.7,129.59763020000003,415.9,9.3,16.1,28.9,44.7,70.21996616,12.9,3.555798687,97.0,43083.0,29.6,4.0,19.2,19750.0,32.24489796,11.7,14.596716772
KS,Kansas,Russell,3.1,3.3,9.6,14.9,109.5574456,338.1,9.9,17.1,30.4,70.23,68.69257951,13.6,3.4997426660000004,32.0,45443.0,23.4,2.0,19.8,16062.0,37.28115345,11.7,14.596716772
KS,Kansas,Saline,3.1,3.2,9.5,15.1,69.69842855,376.0,9.7,18.3,32.8,48.3,60.59518469,15.2,4.194538698,42.0,48460.0,25.9,2.0,18.6,21507.0,44.44039816,10.2,13.13566153
KS,Kansas,Scott,2.9,3.2,9.0,16.0,129.8648594,430.3,9.7,16.4,29.5,112.68,53.23505324,14.3,2.7291812460000004,89.0,56032.0,28.7,4.0,12.5,31479.0,38.04347826,10.7,14.596716772
KS,Kansas,Sedgwick,3.3,3.3,9.6,14.9,67.65848521,372.8,10.1,17.6,30.7,38.61,67.09864618,14.3,5.38620595,40.0,51175.0,24.8,2.0,19.4,21791.0,49.84585765,10.9,15.21631874
KS,Kansas,Seward,3.1,3.7,9.9,15.5,62.96034361,306.7,11.9,18.0,32.3,65.26,37.58484609,22.6,3.5073699169999997,12.0,47381.0,27.0,1.0,21.5,24448.0,67.30135482,10.6,14.596716772
KS,Kansas,Shawnee,3.1,3.1,9.4,15.1,70.89310733,373.4,9.4,20.3,28.9,43.79,64.98793315,14.6,4.76092933,43.0,52795.0,24.1,2.0,20.8,21758.0,45.40066547,11.4,10.62980672
KS,Kansas,Sheridan,3.0,3.2,9.4,14.7,86.11241585,352.0,9.8,16.5,28.5,115.86,64.85355649,13.9,2.612190221,47.0,52300.0,29.5,2.0,15.9,21933.0,29.898989899999997,11.7,14.596716772
KS,Kansas,Sherman,3.1,3.3,9.6,15.3,102.3237391,420.5,10.3,17.7,29.1,78.84,63.17523057,15.4,3.213242454,85.0,43100.0,29.6,4.0,23.0,17074.0,38.36189981606062,10.9,14.596716772
KS,Kansas,Smith,3.2,3.4,9.7,13.8,126.26926920000001,364.6,10.3,17.0,28.7,68.96,75.42372881,14.3,3.1146767339999997,71.0,41303.0,27.4,3.0,18.2,16438.0,35.23131673,12.3,14.596716772
KS,Kansas,Stafford,3.1,3.3,9.6,14.5,113.9107851,384.0,10.1,17.0,29.4,25.22,63.28963051,15.0,3.715450838,37.0,45945.0,32.6,2.0,19.6,23258.0,46.55963303,11.8,14.596716772
KS,Kansas,Stanton,3.0,3.3,9.3,15.1,88.97333870173469,374.70891089108903,10.4,16.5,30.8,50.4,57.71230503,17.5,3.368623677,50.445544554455445,56591.0,32.3,2.4356435643564356,17.4,24035.0,45.01061571,11.8,14.596716772
KS,Kansas,Stevens,2.9,3.2,8.9,16.0,87.71622048,236.6,9.8,16.0,30.5,78.41,51.71232877,16.3,2.878103838,10.0,59773.0,29.3,1.0,13.7,22425.0,44.27083333,10.3,14.596716772
KS,Kansas,Sumner,2.9,3.1,8.9,15.9,93.84636009999998,424.0,9.3,15.9,34.6,41.76,62.43478261,13.2,4.77891916,73.0,52476.0,30.3,3.0,19.0,22229.0,37.246501,10.3,19.77596655
KS,Kansas,Thomas,2.7,2.7,8.2,18.2,88.56499405,263.0,8.1,16.0,28.2,81.96,80.35207269,11.1,2.852685536,4.0,50639.0,26.0,1.0,13.4,20444.0,30.22670025,8.3,14.596716772
